Word1,Word2,Human_Score,Model_Score
admission,ticket,5.536,0.050901156
alcohol,chemistry,4.125,0.08294795
aluminum,metal,6.625,0.15675984
announcement,effort,2.0625,-0.051055778
announcement,news,7.1875,0.18881129
announcement,production,1.6875,0.091979146
announcement,warning,4.625,0.11591633
architecture,century,1.929,0.054097097
arrival,hotel,2.1875,0.13965914
atmosphere,landscape,3.5625,0.13183872
attempt,peace,0.9375,0.15399833
baby,mother,5.25,0.04535981
bank,money,6.625,0.072940335
baseball,season,3.2565,0.11754598
bed,closet,2.25,0.078091994
bird,cock,5.875,0.06403933
bird,crane,4.8125,-0.047629997
bishop,rabbi,5.375,0.14805368
board,recommendation,1.25,0.081531726
book,library,5.3125,0.08383452
book,paper,5.875,0.17855392
boy,lad,7.844,0.15593402
bread,butter,4.1875,0.10308092
brother,monk,4.25,-0.0149042895
calculation,computation,8.0565,0.06550785
canyon,landscape,5.25,0.06756044
car,automobile,9.369,0.13342215
car,flight,2.4375,0.019221868
cell,phone,6.25,-0.023943324
century,nation,2.1875,0.10456961
century,year,4.0,0.12823255
championship,tournament,7.5,0.06355586
change,attitude,3.375,-0.0036909948
chord,smile,0.8125,0.10329147
closet,clothes,4.625,0.1169517
coast,forest,2.125,-0.07219826
coast,hill,2.3125,0.0727752
coast,shore,8.2755,0.06242516
company,stock,3.75,0.1277682
competition,price,3.0,0.078644484
computer,laboratory,3.375,0.07616793
computer,news,1.6875,-0.0074525997
consumer,confidence,1.6875,0.04639213
consumer,energy,2.75,0.022475153
country,citizen,4.3125,0.15971419
credit,card,4.5625,-0.021135336
credit,information,3.644,0.031455256
cup,article,1.3125,0.09274106
cup,coffee,5.0625,0.0646889
cup,drink,4.75,0.20743881
cup,entity,1.375,0.02705368
cup,food,1.875,0.11141301
cup,liquid,3.75,0.04439325
cup,object,4.25,0.04181624
cup,substance,1.9375,0.07462585
currency,market,4.3125,0.048878454
day,dawn,4.625,0.13605174
day,summer,3.125,0.24619965
death,row,1.6875,0.014902057
delay,news,1.4375,0.06474538
development,issue,3.3125,0.015294599
direction,combination,2.0625,0.117811635
disability,death,2.3125,-0.06062388
disaster,area,1.625,-0.02354212
discovery,space,3.9375,1.5535456e-05
dividend,calculation,5.1875,0.01467591
dividend,payment,5.5,0.15862888
doctor,liability,2.5,0.012209874
doctor,nurse,6.125,0.14779544
doctor,personnel,3.5625,-0.07920326
dollar,buck,8.5625,0.035450682
dollar,loss,2.1875,0.0446472
dollar,profit,5.375,0.06380378
drink,car,0.3125,0.13330425
drink,ear,0.375,0.15017278
drink,eat,4.125,0.049663626
drink,mother,0.5625,0.10503835
drink,mouth,4.7375,-0.00046276575
drug,abuse,4.9375,-0.011922132
energy,crisis,3.0505,-0.025864592
energy,laboratory,2.7565,-0.0037184393
energy,secretary,1.0625,-0.079745725
equipment,maker,2.5625,0.055422958
experience,music,2.3125,-0.010492332
family,planning,1.75,0.0028512115
fertility,egg,5.1875,-0.030559821
five,month,1.069,-0.01175082
focus,life,2.3125,0.12229557
food,fruit,7.0625,0.13597889
food,preparation,3.75,0.071850084
football,basketball,4.125,0.07383143
football,tennis,3.6875,0.017329972
forest,graveyard,1.394,-0.0040713465
furnace,stove,8.0625,0.08193179
game,defeat,3.6875,0.0045533334
game,round,5.1875,-0.0505914
game,series,4.5625,0.06733972
game,team,4.625,0.19203219
game,victory,4.6875,0.10327378
glass,metal,2.1875,0.13741863
government,crisis,3.625,0.10089101
governor,interview,1.625,0.021969495
governor,office,4.3125,0.12039535
grocery,money,3.375,-0.016718315
holy,sex,1.069,0.01887504
hotel,reservation,5.0625,0.052186556
hundred,percent,4.4375,0.05743765
image,surface,1.8125,0.049587235
investigation,effort,3.75,0.015072059
jaguar,car,5.3125,0.06204485
jaguar,cat,6.4375,0.10961859
journal,association,2.625,0.005919588
journey,car,4.0625,0.07968524
journey,voyage,7.5,0.22134382
king,queen,5.6875,0.032940175
lad,brother,4.9375,0.00950077
law,lawyer,6.1875,0.09022038
lawyer,evidence,3.9375,0.021805732
liability,insurance,4.375,0.07469875
life,death,4.375,0.05591538
life,lesson,3.1875,0.057571683
life,term,3.8125,0.07256219
line,insurance,1.3125,-0.061658155
liquid,water,7.0625,0.1764278
listing,category,5.375,-0.026848096
listing,proximity,1.4375,0.04179021
love,sex,6.375,0.06318074
lover,quarrel,1.6875,0.0027684232
luxury,car,3.3125,0.009823169
man,governor,4.25,0.04670474
man,woman,4.5,0.1223307
media,gain,1.375,-0.0015772196
media,radio,6.4375,0.047038466
media,trading,1.8125,0.09722326
midday,noon,8.9375,0.011524058
mile,kilometer,6.9375,0.074122615
minister,party,3.0625,0.06915932
ministry,culture,2.844,0.113153905
minority,peace,1.1875,-0.060811434
money,bank,6.0,0.072940335
money,cash,8.875,0.10166455
money,cash,9.0315,0.10166455
money,currency,7.9375,0.06638764
money,deposit,5.375,0.010467099
money,dollar,7.6875,0.15265301
money,laundering,4.4565,-0.007940403
money,operation,1.875,0.17629711
money,possession,4.3125,0.1119869
money,property,5.0625,0.042753696
money,wealth,7.0625,-0.008660028
money,withdrawal,4.0625,0.052469887
monk,slave,2.5625,0.013896263
month,hotel,1.0625,0.058710188
morality,importance,2.5,0.02871812
morality,marriage,2.375,0.04036243
movie,critic,3.1875,0.08245156
movie,star,4.3125,0.058013868
movie,theater,6.125,0.09152285
museum,theater,3.875,0.15527184
music,project,3.1875,0.09243139
nature,environment,6.9375,0.16342805
nature,man,2.9375,0.080250055
network,hardware,3.8125,-0.025832305
news,report,6.8125,0.12222029
noon,string,0.6875,0.15598327
observation,architecture,1.875,0.06858117
oil,stock,2.9375,0.09280843
opera,industry,1.194,0.061793584
opera,performance,4.875,0.058178987
peace,atmosphere,2.1875,0.026084416
peace,insurance,1.7565,-0.04020209
peace,plan,1.5,0.05368897
phone,equipment,4.0315,-0.025179071
physics,chemistry,5.0625,0.12861124
plane,car,3.5625,0.05955797
planet,moon,6.0,0.13967457
planet,people,3.375,0.1356483
planet,space,5.3125,0.05432004
planet,star,5.625,-0.0049316334
planet,sun,5.8125,0.12073751
population,development,3.4755,0.061172064
possibility,girl,1.069,0.047867436
practice,institution,3.5625,0.017508183
precedent,collection,1.0625,0.0029539824
precedent,example,5.4375,0.07272889
precedent,group,1.5625,0.028971845
precedent,information,2.375,0.06906595
precedent,law,4.375,-0.012154898
prejudice,recognition,3.3125,0.06265197
preservation,world,2.4375,0.06422815
president,medal,1.25,0.011003487
