Word1,Word2,Human_Score,Model_Score
admission,ticket,5.536,0.0925058
alcohol,chemistry,4.125,0.024152188
aluminum,metal,6.625,0.42183125
announcement,effort,2.0625,0.0995755
announcement,news,7.1875,0.29023677
announcement,production,1.6875,0.16500334
announcement,warning,4.625,0.085656956
architecture,century,1.929,0.18582752
arrival,hotel,2.1875,0.23616032
atmosphere,landscape,3.5625,0.25394163
attempt,peace,0.9375,0.1765395
baby,mother,5.25,0.3860617
bank,money,6.625,0.2278294
baseball,season,3.2565,0.1848402
bed,closet,2.25,0.36939743
bird,cock,5.875,0.310575
bird,crane,4.8125,0.21281175
bishop,rabbi,5.375,0.18343093
board,recommendation,1.25,0.39085954
book,library,5.3125,0.21692413
book,paper,5.875,0.21921268
boy,lad,7.844,0.211355
bread,butter,4.1875,0.4914998
brother,monk,4.25,0.11819128
calculation,computation,8.0565,0.12166586
canyon,landscape,5.25,0.29997736
car,automobile,9.369,0.25453156
car,flight,2.4375,0.15638538
cell,phone,6.25,0.23403768
century,nation,2.1875,0.17792122
century,year,4.0,0.1344546
championship,tournament,7.5,0.22348589
change,attitude,3.375,0.16621746
chord,smile,0.8125,0.06301652
closet,clothes,4.625,0.3126921
coast,forest,2.125,0.14842878
coast,hill,2.3125,0.21288782
coast,shore,8.2755,0.31649518
company,stock,3.75,0.33679524
competition,price,3.0,0.28927463
computer,laboratory,3.375,0.11485442
computer,news,1.6875,0.043904785
consumer,confidence,1.6875,0.07755208
consumer,energy,2.75,0.22341073
country,citizen,4.3125,0.22589885
credit,card,4.5625,0.1788544
credit,information,3.644,0.21115512
cup,article,1.3125,0.12819359
cup,coffee,5.0625,0.53647566
cup,drink,4.75,0.30404463
cup,entity,1.375,-0.051437516
cup,food,1.875,0.048666734
cup,liquid,3.75,0.29485637
cup,object,4.25,0.01625421
cup,substance,1.9375,0.12531073
currency,market,4.3125,0.30737478
day,dawn,4.625,0.29981354
day,summer,3.125,0.35346454
death,row,1.6875,0.052197043
delay,news,1.4375,0.04727794
development,issue,3.3125,0.21427396
direction,combination,2.0625,-0.07876141
disability,death,2.3125,0.22337835
disaster,area,1.625,0.23599091
discovery,space,3.9375,0.068292
dividend,calculation,5.1875,0.115216926
dividend,payment,5.5,0.34454095
doctor,liability,2.5,0.11401028
doctor,nurse,6.125,0.38328722
doctor,personnel,3.5625,0.15970065
dollar,buck,8.5625,0.117501274
dollar,loss,2.1875,0.20550287
dollar,profit,5.375,0.12944879
drink,car,0.3125,0.14081852
drink,ear,0.375,0.35116035
drink,eat,4.125,0.31435865
drink,mother,0.5625,0.13567495
drink,mouth,4.7375,0.27993795
drug,abuse,4.9375,0.15856048
energy,crisis,3.0505,0.07492829
